movieId,movieTitle,RatingFinal,Usercount,AttitudeCount,TotalBoxOffice(Unit:万),EndDate
87876,雷霆沙赞！,6.9,1203,2316,22200.000000000004,2019-04-09 18:45
45997,阿凡达,8.8,68063,14068,137900.0,2016-10-28 16:00
216008,银河护卫队2,7.8,6377,2373,68600.0,2019-04-09 15:54
228592,源·彩虹,-1,5,60,,
175195,银河护卫队,7.7,13905,1620,60100.0,2016-02-23 17:44
209123,雷神3：诸神黄昏,7.8,5325,10161,74300.0,2019-04-09 15:54
244278,王者少年,-1,6,38,,
209122,美国队长3,7.8,12032,12174,124600.00000000001,2018-05-10 23:55
217497,复仇者联盟3：无限战争,8.1,8265,14691,239000.0,2019-04-09 15:54
247270,雪宝的冰雪大冒险,7.2,42,31,,
39560,美国队长,6.9,85,64,,
14774,异形2,8.1,3834,365,,
131518,黑衣人,-1,6,1,,
