h_number,h_name,h_score,h_price,h_address,h_link
1,国家会展中心上海洲际酒店,4.7,897,位于虹桥枢纽地区，上海青浦区诸光路1700号,http://hotel.qunar.com/city/shanghai_city/dt-25196/?tag=shanghai_city#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=e1c56e78-ec47-44bc-aba9-69c9a779cecb_A&showMap=0&qptype=&QHFP=ZSS_A8350410/
2,上海虹桥康得思酒店,4.7,985,位于虹桥枢纽地区，上海闵行区申虹路333号，靠近上海虹桥站,http://hotel.qunar.com/city/shanghai_city/dt-30431/?tag=shanghai_city#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=e1c56e78-ec47-44bc-aba9-69c9a779cecb_A&showMap=0&qptype=&QHFP=ZSS_A8350410/
3,上海中航虹桥机场泊悦酒店,4.7,667,位于虹桥枢纽地区，上海闵行区虹桥机场2号航站楼出发层2号门(南区)，上海虹桥站附近,http://hotel.qunar.com/city/shanghai_city/dt-15418/?tag=shanghai_city#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=e1c56e78-ec47-44bc-aba9-69c9a779cecb_A&showMap=0&qptype=&QHFP=ZSS_A8350410/
4,上海新天地朗廷酒店,4.8,1606,位于淮海路商业区，上海黄浦区马当路99号，靠近中环广场,http://hotel.qunar.com/city/shanghai_city/dt-7422/?tag=shanghai_city#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=e1c56e78-ec47-44bc-aba9-69c9a779cecb_A&showMap=0&qptype=&QHFP=ZSS_A8350410/
5,上海宏泉丽笙酒店,4.3,521,位于曹杨真如，上海普陀区桃浦路210号,http://hotel.qunar.com/city/shanghai_city/dt-2208/?tag=shanghai_city#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=e1c56e78-ec47-44bc-aba9-69c9a779cecb_A&showMap=0&qptype=&QHFP=ZSS_A8350410/
6,全季酒店(上海虹桥国展中心南华街店),4.9,297,位于虹桥枢纽地区，上海闵行区南华街58号,http://hotel.qunar.com/city/shanghai_city/dt-60007/?tag=shanghai_city#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=e1c56e78-ec47-44bc-aba9-69c9a779cecb_A&showMap=0&qptype=&QHFP=ZSS_A8350410/
7,上海虹桥迎宾馆,4.8,934,位于虹桥地区，上海长宁区虹桥路1591号，上海世贸商城附近,http://hotel.qunar.com/city/shanghai_city/dt-463/?tag=shanghai_city#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=e1c56e78-ec47-44bc-aba9-69c9a779cecb_A&showMap=0&qptype=&QHFP=ZSS_A8350410/
8,和颐酒店上海虹桥国家会展中心沪青平店,4.7,220,位于虹桥枢纽地区，上海闵行区沪青平公路220号,http://hotel.qunar.com/city/shanghai_city/dt-23877/?tag=shanghai_city#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=e1c56e78-ec47-44bc-aba9-69c9a779cecb_A&showMap=0&qptype=&QHFP=ZSS_A8350410/
9,上海虹桥绿地铂瑞酒店,4.7,667,位于虹桥枢纽地区，上海青浦区徐泾镇诸光路1588弄100号,http://hotel.qunar.com/city/shanghai_city/dt-38139/?tag=shanghai_city#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=e1c56e78-ec47-44bc-aba9-69c9a779cecb_A&showMap=0&qptype=&QHFP=ZSS_A8350410/
10,上海徐家汇禧玥酒店,4.7,780,位于徐家汇，上海徐汇区蒲汇塘路118号(入口位于文定路)，光启城附近,http://hotel.qunar.com/city/shanghai_city/dt-43047/?tag=shanghai_city#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=e1c56e78-ec47-44bc-aba9-69c9a779cecb_A&showMap=0&qptype=&QHFP=ZSS_A8350410/
