h_number,h_name,h_score,h_price,h_address,h_link
1-1,成都华尔道夫酒店,4.7,1153,位于高新区，成都武侯区天府大道北段1199号，九方购物中心附近,http://hotel.qunar.com/city/chengdu/dt-15093/?tag=chengdu#fromDate=2019-04-14&toDate=2019-04-15&q=&from=qunarHotel&fromFocusList=0&filterid=d4611a42-189f-458d-b3e6-bfdc193654c3_A&showMap=0&qptype=&QHFP=ZSS_A10014C1/
1-2,成都环球中心天堂洲际大饭店,4.6,961,位于高新区，成都高新区天府大道北段1736号，靠近天堂岛海洋乐园,http://hotel.qunar.com/city/chengdu/dt-7358/?tag=chengdu#fromDate=2019-04-14&toDate=2019-04-15&q=&from=qunarHotel&fromFocusList=0&filterid=d4611a42-189f-458d-b3e6-bfdc193654c3_A&showMap=0&qptype=&QHFP=ZSS_A10014C1/
1-3,成都外双楠希尔顿欢朋酒店,4.8,459,位于武侯区，成都武侯区晋阳路432号，靠近四川省妇幼保健院,http://hotel.qunar.com/city/chengdu/dt-17600/?tag=chengdu#fromDate=2019-04-14&toDate=2019-04-15&q=&from=qunarHotel&fromFocusList=0&filterid=d4611a42-189f-458d-b3e6-bfdc193654c3_A&showMap=0&qptype=&QHFP=ZSS_A10014C1/
1-4,橙堡公寓(成都金牛万通店),5.0,165,位于茶店子，成都金牛区金府路88号万通金融广场西塔7楼，金牛区人民医院附近,http://hotel.qunar.com/city/chengdu/dt-51405/?tag=chengdu#fromDate=2019-04-14&toDate=2019-04-15&q=&from=qunarHotel&fromFocusList=0&filterid=d4611a42-189f-458d-b3e6-bfdc193654c3_A&showMap=0&qptype=&QHFP=ZSS_A10014C1/
1-5,成都蓝城悦杏温泉美食酒店,5.0,444,位于骡马市，成都槐树街35号，靠近成都市妇幼保健院,http://hotel.qunar.com/city/chengdu/dt-50168/?tag=chengdu#fromDate=2019-04-14&toDate=2019-04-15&q=&from=qunarHotel&fromFocusList=0&filterid=d4611a42-189f-458d-b3e6-bfdc193654c3_A&showMap=0&qptype=&QHFP=ZSS_A10014C1/
1-6,成都佰仕廷红楠酒店,4.8,323,位于双楠，成都武侯区盛丰路55号，靠近永顺路,http://hotel.qunar.com/city/chengdu/dt-19347/?tag=chengdu#fromDate=2019-04-14&toDate=2019-04-15&q=&from=qunarHotel&fromFocusList=0&filterid=d4611a42-189f-458d-b3e6-bfdc193654c3_A&showMap=0&qptype=&QHFP=ZSS_A10014C1/
1-7,成都禧悦酒店,4.8,298,位于东升，成都双流区广都大道一段2号，棠湖公园附近,http://hotel.qunar.com/city/chengdu/dt-13779/?tag=chengdu#fromDate=2019-04-14&toDate=2019-04-15&q=&from=qunarHotel&fromFocusList=0&filterid=d4611a42-189f-458d-b3e6-bfdc193654c3_A&showMap=0&qptype=&QHFP=ZSS_A10014C1/
1-8,米娅轻奢国际度假公寓(成都高新店),4.8,198,位于高新区，成都武侯区交子大道润富国际花园公寓8栋1号门大厅，成都市第一人民医院附近,http://hotel.qunar.com/city/chengdu/dt-50414/?tag=chengdu#fromDate=2019-04-14&toDate=2019-04-15&q=&from=qunarHotel&fromFocusList=0&filterid=d4611a42-189f-458d-b3e6-bfdc193654c3_A&showMap=0&qptype=&QHFP=ZSS_A10014C1/
1-9,私悦酒店(成都双流机场万达店),4.9,206,位于双流区，成都双流区双楠大道中段333号64栋附105,http://hotel.qunar.com/city/chengdu/dt-50157/?tag=chengdu#fromDate=2019-04-14&toDate=2019-04-15&q=&from=qunarHotel&fromFocusList=0&filterid=d4611a42-189f-458d-b3e6-bfdc193654c3_A&showMap=0&qptype=&QHFP=ZSS_A10014C1/
1-10,成都协信中心希尔顿酒店,4.7,625,位于建设路，成都成华区踏水桥西街99号，华西中学电子科技大学附中…,http://hotel.qunar.com/city/chengdu/dt-48272/?tag=chengdu#fromDate=2019-04-14&toDate=2019-04-15&q=&from=qunarHotel&fromFocusList=0&filterid=d4611a42-189f-458d-b3e6-bfdc193654c3_A&showMap=0&qptype=&QHFP=ZSS_A10014C1/
1-11,成都龙之梦瑞峰国际酒店,4.5,337,位于成华区，成都成华区嘉陵江路8号-B，靠近成都东站东广场,http://hotel.qunar.com/city/chengdu/dt-18574/?tag=chengdu#fromDate=2019-04-14&toDate=2019-04-15&q=&from=qunarHotel&fromFocusList=0&filterid=d4611a42-189f-458d-b3e6-bfdc193654c3_A&showMap=0&qptype=&QHFP=ZSS_A10014C1/
1-12,成都红璞酒店,4.7,228,位于双流区，成都双流区长江路三段13号，靠近成都信息工程学院航空…,http://hotel.qunar.com/city/chengdu/dt-48094/?tag=chengdu#fromDate=2019-04-14&toDate=2019-04-15&q=&from=qunarHotel&fromFocusList=0&filterid=d4611a42-189f-458d-b3e6-bfdc193654c3_A&showMap=0&qptype=&QHFP=ZSS_A10014C1/
1-13,成都中心世茂睿选尚品酒店(成都春熙太古里店),4.8,348,位于春熙路，成都锦江区署袜北二街56号，靠近蜀都大厦,http://hotel.qunar.com/city/chengdu/dt-23201/?tag=chengdu#fromDate=2019-04-14&toDate=2019-04-15&q=&from=qunarHotel&fromFocusList=0&filterid=d4611a42-189f-458d-b3e6-bfdc193654c3_A&showMap=0&qptype=&QHFP=ZSS_A10014C1/
