h_number,h_name,h_score,h_price,h_address,h_link
1-1,深圳机场凯悦酒店,4.7,685,位于宝安区，深圳宝安区宝安国际机场地面交通中心(GTC)16号出口,http://hotel.qunar.com/city/shenzhen/dt-22880/?tag=shenzhen#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=f53d18df-cc0e-4abd-aa04-e11421827a6e_A&showMap=0&qptype=&QHFP=ZSS_A12162A9/
1-2,维也纳好眠国际酒店(深圳新机场旗舰店),4.9,349,位于宝安区，深圳宝安区西乡街道机场一道(西部硅谷西南150米),http://hotel.qunar.com/city/shenzhen/dt-18359/?tag=shenzhen#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=f53d18df-cc0e-4abd-aa04-e11421827a6e_A&showMap=0&qptype=&QHFP=ZSS_A12162A9/
1-3,中濠精致酒店(西乡大道店),4.8,506,位于西乡，深圳宝安区西乡大道228号中濠大厦1-8楼，西乡汽车客运站附近,http://hotel.qunar.com/city/shenzhen/dt-15463/?tag=shenzhen#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=f53d18df-cc0e-4abd-aa04-e11421827a6e_A&showMap=0&qptype=&QHFP=ZSS_A12162A9/
1-4,深圳大梅沙京基喜来登酒店,4.6,1385,位于大梅沙，深圳盐田区大梅沙盐葵路(大梅沙段)9号,http://hotel.qunar.com/city/shenzhen/dt-2044/?tag=shenzhen#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=f53d18df-cc0e-4abd-aa04-e11421827a6e_A&showMap=0&qptype=&QHFP=ZSS_A12162A9/
1-5,深圳华强广场酒店,4.7,795,位于华强北，深圳福田区华强北路1019号，靠近赛格广场,http://hotel.qunar.com/city/shenzhen/dt-3529/?tag=shenzhen#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=f53d18df-cc0e-4abd-aa04-e11421827a6e_A&showMap=0&qptype=&QHFP=ZSS_A12162A9/
1-6,深圳中洲万豪酒店,4.8,1373,位于南油，深圳南山区海德一道88号中洲控股中心A座，靠近海岸城,http://hotel.qunar.com/city/shenzhen/dt-12896/?tag=shenzhen#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=f53d18df-cc0e-4abd-aa04-e11421827a6e_A&showMap=0&qptype=&QHFP=ZSS_A12162A9/
1-7,深圳湾科技园丽雅查尔顿酒店,4.5,589,位于科技园，深圳南山区高新科技园高新南四道13号，深大地铁站C口附近,http://hotel.qunar.com/city/shenzhen/dt-10248/?tag=shenzhen#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=f53d18df-cc0e-4abd-aa04-e11421827a6e_A&showMap=0&qptype=&QHFP=ZSS_A12162A9/
1-8,深圳前海华侨城JW万豪酒店,4.6,1066,位于宝安中心区，深圳宝安区宝兴路8号，翻身地铁站C口附近,http://hotel.qunar.com/city/shenzhen/dt-11646/?tag=shenzhen#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=f53d18df-cc0e-4abd-aa04-e11421827a6e_A&showMap=0&qptype=&QHFP=ZSS_A12162A9/
1-9,深圳蛇口希尔顿南海酒店,4.7,1272,位于蛇口，深圳南山区望海路1177号，水湾地铁站C口附近,http://hotel.qunar.com/city/shenzhen/dt-7187/?tag=shenzhen#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=f53d18df-cc0e-4abd-aa04-e11421827a6e_A&showMap=0&qptype=&QHFP=ZSS_A12162A9/
1-10,深圳圣淘沙酒店(翡翠店),4.6,508,位于南山中心区，深圳南山区金鸡路1号(地铁罗宝线桃园站B出口)，靠近南山医院,http://hotel.qunar.com/city/shenzhen/dt-5837/?tag=shenzhen#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=f53d18df-cc0e-4abd-aa04-e11421827a6e_A&showMap=0&qptype=&QHFP=ZSS_A12162A9/
1-11,深圳滨河时代亚朵S酒店,4.8,983,位于下沙，深圳福田区滨河大道9289号滨河时代大厦B座，招商银行大厦附近,http://hotel.qunar.com/city/shenzhen/dt-14665/?tag=shenzhen#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=f53d18df-cc0e-4abd-aa04-e11421827a6e_A&showMap=0&qptype=&QHFP=ZSS_A12162A9/
1-12,深圳圣淘沙酒店(桃园店),4.6,582,位于南山中心区，深圳南山区桃园路与南光路交汇处田厦国际中心金牛广场B座，靠近南山医院,http://hotel.qunar.com//bnb.qunar.com/city/shenzhen/dt-12899/?tag=shenzhen#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=f53d18df-cc0e-4abd-aa04-e11421827a6e_A&showMap=0&qptype=&QHFP=ZSS_A12162A9/
1-13,希岸酒店(深圳机场航站楼店),4.6,308,位于西乡，深圳宝安区固戍航城大道72号佳运通大厦，固戍地铁站F口附近,http://hotel.qunar.com/city/shenzhen/dt-15320/?tag=shenzhen#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=f53d18df-cc0e-4abd-aa04-e11421827a6e_A&showMap=0&qptype=&QHFP=ZSS_A12162A9/
1-14,深圳彭年酒店,4.5,723,位于国贸，深圳罗湖区嘉宾路2002号(毗邻金光华购物广场)，靠近金光华广场,http://hotel.qunar.com/city/shenzhen/dt-190/?tag=shenzhen#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=f53d18df-cc0e-4abd-aa04-e11421827a6e_A&showMap=0&qptype=&QHFP=ZSS_A12162A9/
1-15,美豪酒店(深圳机场店),4.7,328,位于宝安区，深圳宝安区宝安大道5010号(地铁1号线后瑞地铁站A出口),http://hotel.qunar.com//bnb.qunar.com/city/shenzhen/dt-10647/?tag=shenzhen#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=f53d18df-cc0e-4abd-aa04-e11421827a6e_A&showMap=0&qptype=&QHFP=ZSS_A12162A9/
1-16,深圳湾木棉花酒店,4.6,974,位于南山中心区，深圳南山区滨海大道3001号，海岸城附近,http://hotel.qunar.com/city/shenzhen/dt-5380/?tag=shenzhen#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=df7213e8-305d-4aeb-af4c-76b933332dcf&showMap=0&qptype=&QHFP=ZSS_A1216309/
1-17,深圳皇庭V酒店,4.7,1178,位于岗厦，深圳福田区金田路2028号皇岗商务中心26楼办理入住，大中华国际金融中心附近,http://hotel.qunar.com/city/shenzhen/dt-4362/?tag=shenzhen#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=df7213e8-305d-4aeb-af4c-76b933332dcf&showMap=0&qptype=&QHFP=ZSS_A1216309/
1-18,深圳富临大酒店,4.4,532,位于罗湖区，深圳罗湖区和平路1085号(罗湖火车站西出口)，太平洋商贸大厦附近,http://hotel.qunar.com/city/shenzhen/dt-24/?tag=shenzhen#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=df7213e8-305d-4aeb-af4c-76b933332dcf&showMap=0&qptype=&QHFP=ZSS_A1216309/
1-19,深圳机场凯悦嘉轩酒店,4.6,583,位于宝安区，深圳宝安区宝安国际机场地面交通中心(GTC)14号出口3楼,http://hotel.qunar.com/city/shenzhen/dt-12902/?tag=shenzhen#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=df7213e8-305d-4aeb-af4c-76b933332dcf&showMap=0&qptype=&QHFP=ZSS_A1216309/
1-20,深圳中海凯骊酒店,4.7,659,位于龙岗中心城，深圳龙岗区大运路168号,http://hotel.qunar.com/city/shenzhen/dt-2838/?tag=shenzhen#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=df7213e8-305d-4aeb-af4c-76b933332dcf&showMap=0&qptype=&QHFP=ZSS_A1216309/
1-21,美豪丽致酒店(深圳福田会展中心店),4.7,820,位于岗厦，深圳福田区滨河大道5022号联合广场B座，大中华国际金融中心附近,http://hotel.qunar.com/city/shenzhen/dt-101/?tag=shenzhen#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=df7213e8-305d-4aeb-af4c-76b933332dcf&showMap=0&qptype=&QHFP=ZSS_A1216309/
1-22,深圳瑞吉酒店,4.6,1819,位于东门商业区，深圳罗湖区深南东路5016号，靠近国信证券大厦,http://hotel.qunar.com/city/shenzhen/dt-4312/?tag=shenzhen#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=df7213e8-305d-4aeb-af4c-76b933332dcf&showMap=0&qptype=&QHFP=ZSS_A1216309/
1-23,深圳威尼斯睿途酒店(原威尼斯酒店),4.6,924,位于华侨城，深圳南山区华侨城深南大道9026号，何香凝美术馆附近,http://hotel.qunar.com/city/shenzhen/dt-1984/?tag=shenzhen#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=df7213e8-305d-4aeb-af4c-76b933332dcf&showMap=0&qptype=&QHFP=ZSS_A1216309/
1-24,深圳瑞鑫国际酒店,4.6,261,位于龙岗区，深圳龙岗区布吉街道吉华路237号大坡头综合楼,http://hotel.qunar.com/city/shenzhen/dt-14773/?tag=shenzhen#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=df7213e8-305d-4aeb-af4c-76b933332dcf&showMap=0&qptype=&QHFP=ZSS_A1216309/
